"indicationgroupid","indicationid"
"167","37594"
"167","38804"
"167","42654"
"167","43094"
"167","57654"
"167","57664"
"167","57984"
"167","57994"
"167","61614"
"167","62554"
"167","63364"
"167","63524"
"167","63554"
"167","69694"
"167","70884"
"167","71374"
"167","71704"
"167","75984"
"167","75994"
"167","76334"
"167","76344"
"167","76694"
"167","76704"
"167","76714"
"167","77964"
"167","77974"
"167","78734"
"167","78744"
"167","79534"
"167","81254"
"167","83864"
"167","85844"
"167","86414"
"167","91134"
"168","7124"
"168","7134"
"168","14004"
"168","30584"
"168","57654"
"168","57664"
"168","57944"
"168","57954"
"168","57964"
"168","57984"
"168","57994"
"168","63494"
"168","63504"
"168","63514"
"168","63524"
"168","63534"
"168","63544"
"168","63554"
"168","63564"
"168","64154"
"168","68814"
"168","71704"
"168","74934"
"168","74944"
"168","74954"
"168","74964"
"168","75964"
"168","75974"
"168","75984"
"168","75994"
"168","77964"
"168","77974"
"168","77984"
"168","77994"
"168","78004"
"168","78014"
"168","78734"
"168","78744"
"168","79524"
"168","79534"
"168","79544"
"168","79554"
"168","80484"
"168","81254"
"168","83864"
"168","85844"
"168","86394"
"168","86464"
"168","86494"
"168","88684"
"168","88694"
"169","634"
"169","8724"
"169","14074"
"169","30574"
"169","34684"
"169","34994"
"169","41024"
"169","42954"
"169","43114"
"169","43124"
"169","43164"
"169","43174"
"169","43194"
"169","43234"
"169","66954"
"169","68304"
"169","74354"
"169","78494"
"169","82444"
"169","83614"
"176","304"
"176","12663"
"176","32124"
"176","32144"
"176","65374"
"176","65964"
"176","67734"
"176","67744"
"176","67754"
"176","68274"
"176","74064"
"176","79924"
"176","89314"
"177","8764"
"177","30644"
"177","30734"
"177","38864"
"177","38874"
"177","62564"
"177","69254"
"177","74514"
"177","75014"
"177","75024"
"177","80474"
"177","81754"
"177","82524"
"177","83514"
"177","83704"
"177","90284"
"179","7234"
"179","22004"
"179","61844"
"179","78104"
"179","78834"
"179","81454"
"180","6664"
"180","85114"
"180","88444"
"180","88454"
"180","88474"
"180","88664"
"180","88704"
"180","90684"
"181","23524"
"181","43664"
"181","60544"
"181","62284"
"182","261"
"182","9524"
"182","14754"
"182","15664"
"182","19034"
"182","36454"
"182","39494"
"182","59304"
"182","60404"
"182","77714"
"182","90094"
"183","281"
"183","75234"
"183","79154"
"184","9614"
"186","9894"
"186","28354"
"186","31564"
"186","43344"
"186","69104"
"190","9824"
"190","9864"
"190","9874"
"190","13644"
"190","39864"
"190","58024"
"190","80774"
"191","12204"
"191","14344"
"191","14364"
"191","28324"
"191","82534"
"191","82544"
"193","9723"
"193","86374"
"194","10204"
"194","19594"
"194","19614"
"194","39414"
"194","43344"
"194","64814"
"194","80694"
"194","82204"
"194","92504"
"195","1904"
"195","18742"
"195","26864"
"195","35254"
"195","57894"
"195","58704"
"195","59964"
"195","67194"
"195","67424"
"195","88494"
"196","10364"
"196","14374"
"196","19154"
"196","31784"
"196","59934"
"196","91534"
"198","3553"
"198","12654"
"198","25393"
"198","65354"
"199","3222"
"199","3453"
"199","8093"
"199","10934"
"199","11464"
"199","11841"
"199","11914"
"199","12914"
"199","12994"
"199","13004"
"199","25254"
"199","27183"
"199","31584"
"199","36683"
"199","37014"
"199","37024"
"199","37734"
"199","39424"
"199","57434"
"199","57684"
"199","58354"
"199","60804"
"199","61774"
"199","63604"
"199","64084"
"199","67824"
"199","68044"
"199","68864"
"199","68874"
"199","70904"
"199","73684"
"199","75644"
"199","79664"
"199","79864"
"199","83114"
"199","83214"
"199","87174"
"199","89224"
"199","89584"
"199","90034"
"199","90044"
"199","90054"
"199","90064"
"199","90074"
"199","90084"
"199","91904"
"200","1614"
"200","1734"
"200","83664"
"200","83674"
"201","14344"
"201","14364"
"201","63724"
"201","68614"
"201","82544"
"202","4594"
"202","7364"
"202","15074"
"202","15793"
"202","15803"
"202","31283"
"202","35214"
"202","36504"
"202","67124"
"202","67624"
"202","82614"
"202","92474"
"204","10694"
"204","11394"
"204","58484"
"205","10924"
"205","10984"
"205","12644"
"205","23124"
"205","30984"
"205","36514"
"206","5353"
"206","11054"
"206","11553"
"206","36564"
"206","65584"
"206","73954"
"207","11894"
"207","15444"
"207","57734"
"207","57944"
"207","57954"
"207","57964"
"207","63504"
